episode,timestep,reward
1,101,-224.8185
2,202,-211.6013
3,303,-214.5904
4,404,-223.3025
5,505,-247.1189
6,606,-245.5312
7,707,-195.4911
8,808,-215.0424
9,909,-195.4004
10,1010,-225.4222
11,1111,-205.7264
12,1212,-224.8643
13,1313,-232.6126
14,1414,-213.0067
15,1515,-196.9309
16,1616,-183.5766
17,1717,-200.7184
18,1818,-204.4865
19,1919,-191.3955
20,2020,-212.4913
21,2121,-225.4397
22,2222,-210.9125
23,2323,-201.3005
24,2424,-190.2103
25,2525,-222.7347
26,2626,-198.0926
27,2727,-225.071
28,2828,-225.9945
29,2929,-231.8691
30,3030,-206.2755
31,3131,-227.8564
32,3232,-239.0094
33,3333,-202.6618
34,3434,-191.3945
35,3535,-216.2407
36,3636,-196.7877
37,3737,-192.502
38,3838,-188.3594
39,3939,-244.052
40,4040,-232.7399
41,4141,-194.7004
42,4242,-215.5908
43,4343,-187.3542
44,4444,-184.6176
45,4545,-250.4641
46,4646,-213.4428
47,4747,-225.8401
48,4848,-189.1793
49,4949,-202.676
50,5050,-207.6296
51,5151,-250.7091
52,5252,-231.3074
53,5353,-182.8514
54,5454,-222.8067
55,5555,-203.7476
56,5656,-190.4333
57,5757,-184.0091
58,5858,-250.432
59,5959,-262.415
60,6060,-227.6256
61,6161,-205.1716
62,6262,-235.5439
63,6363,-225.805
64,6464,-243.612
65,6565,-191.6594
66,6666,-214.7208
67,6767,-212.7766
68,6868,-211.7293
69,6969,-187.8581
70,7070,-218.4521
71,7171,-176.4257
72,7272,-181.4796
73,7373,-235.7908
74,7474,-238.4914
75,7575,-200.9946
76,7676,-198.5037
77,7777,-228.3524
78,7878,-270.7512
79,7979,-233.9195
80,8080,-196.248
81,8181,-190.5533
82,8282,-198.312
83,8383,-193.2064
84,8484,-221.048
85,8585,-178.222
86,8686,-215.9683
87,8787,-233.8633
88,8888,-247.0848
89,8989,-219.8134
90,9090,-229.7785
91,9191,-225.2567
92,9292,-187.9422
93,9393,-205.416
94,9494,-233.6073
95,9595,-204.3512
96,9696,-205.4339
97,9797,-190.2072
98,9898,-232.1291
99,9999,-192.7164
100,10100,-202.5072
102,10201,-235.4372
103,10302,-160.2954
104,10403,-182.2594
105,10504,-188.5088
106,10605,-224.4456
107,10706,-196.2685
108,10807,-204.7347
109,10908,-205.2501
110,11009,-194.8908
111,11110,-239.8212
112,11211,-230.5809
113,11312,-216.784
114,11413,-226.2581
115,11514,-171.077
116,11615,-176.1287
117,11716,-240.0733
118,11817,-201.4981
119,11918,-218.8426
120,12019,-201.2116
121,12120,-197.8349
122,12221,-160.9364
123,12322,-187.6021
124,12423,-213.8095
125,12524,-240.8923
126,12625,-176.2927
127,12726,-217.6679
128,12827,-229.1095
129,12928,-220.8831
130,13029,-228.6713
131,13130,-209.5114
132,13231,-202.8482
133,13332,-211.6374
134,13433,-198.0883
135,13534,-192.9525
136,13635,-213.6686
137,13736,-232.0778
138,13837,-185.3477
139,13938,-165.4382
140,14039,-183.2604
141,14140,-192.7737
142,14241,-240.0599
143,14342,-216.6057
144,14443,-165.0816
145,14544,-195.9181
146,14645,-181.7778
147,14746,-187.6302
148,14847,-228.9873
149,14948,-206.9645
150,15049,-224.2784
151,15150,-196.461
152,15251,-245.1982
153,15352,-203.1097
154,15453,-214.9803
155,15554,-161.8087
156,15655,-210.8921
157,15756,-193.5924
158,15857,-234.3806
159,15958,-212.5417
160,16059,-212.3684
161,16160,-172.7449
162,16261,-232.5194
163,16362,-221.5121
164,16463,-189.6996
165,16564,-230.6479
166,16665,-192.4475
167,16766,-208.5506
168,16867,-170.5222
169,16968,-206.3014
170,17069,-200.0357
171,17170,-166.8817
172,17271,-185.8311
173,17372,-220.4385
